"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT08"
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-01","    7","0.34","0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-02",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-03",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-04",,,"0.03",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-05",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-06",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-07",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-08",,,"0.12",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-09",,,"0.25",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-10",,,"0.08",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-11",,,"0.06",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-12",,,"0.01",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-13",,,"0.16",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-14",,,"0.19",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-15",,,"0.01",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-16",,,"0.02",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-17",,,"1.17",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-18",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-19",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-20",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-21",,,"0.01",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-22",,,"0.60",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-23",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-24",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-25",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-26",,,"0.35",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-27",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-28",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-29",,,"0.05",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-30",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-01-31",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-01",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-02",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-03",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-04",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-05",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-06",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-07",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-08",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-09",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-10",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-11",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-12",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-02-29","   17","0.00",,,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-01",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-06","    5","0.00",,,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-07",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-08",,,"0.27",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-09",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-10",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-11",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-12",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-13",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-14",,,"0.01",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-15",,,"0.79",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-16",,,"0.48",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-17",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-18",,,"0.02",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-19",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-20",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-21",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-22",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-23",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-24",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-25",,,"0.33",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-26",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-27",,,"0.00",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-28",,,"0.05",,,,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","2020-03-29",,,"0.09",,,,,,,,,,
