"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-01","0.16",,"78","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-02","0.16",,"82","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-03",,,"83","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-04","1.25",,"82","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-05","0.00",,"78","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-06","0.08",,"75","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-07",,,"73","49"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-08",,,"79","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-09",,,"84","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-10",,,"85","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-11","0.10",,"97","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-12",,,"78","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-13",,,"82","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-14","0.02",,"80","55"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-15",,,"81","65"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-16",,,"84","60"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-17",,,"82","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-18",,,"86","60"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-19",,,"92","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-20","0.09",,"88","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-21","0.26",,"80","66"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-22","0.06",,"80","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-23",,,"79","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-24",,,"82","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-25","0.40",,"80","60"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-26","0.02",,"80","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-27","0.05",,"85","53"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-28",,,"84","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-29",,,"85","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-06-30",,,"83","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-01","0.12",,"74","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-02","0.01",,"84","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-03",,,"82","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-04",,,"82","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-05",,,"90","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-06","0.05",,"91","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-07",,,"96","72"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-08",,,"94","69"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-09",,,"85","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-10",,,"82","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-11",,,"86","53"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-12",,,"92","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-13",,,"93","69"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-14",,,"96","74"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-15","0.44",,"95","69"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-16","0.24",,"90","67"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-17","0.01",,"90","66"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-18",,,"85","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-19",,,"85","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-20",,,"83","58"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-21",,,"87","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-22",,,"92","53"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-23",,,"89","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-24",,,"88","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-25","0.01",,"94","72"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-26",,,"91","72"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-27",,,"82","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-28",,,"92","53"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-29","0.01",,"92","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-30",,,"90","58"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-07-31",,,"94","69"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-01","0.22",,"82","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-02",,,"85","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-03",,,"83","67"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-04","0.38",,"84","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-05",,,"89","58"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-06",,,"79","60"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-07",,,"81","48"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-08",,,"85","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-09",,,"90","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-10",,,"93","58"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-11",,,"93","65"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-12","0.24",,"77","65"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-13",,,"80","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-14",,,"82","51"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-15",,,"87","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-16","0.40",,"83","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-17","0.02",,"81","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-18",,,"86","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-19",,,"78","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-20",,,"81","55"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-21",,,"81","55"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-22",,,"83","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-23",,,"90","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-24",,,"93","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-25","0.08",,"89","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-26","0.12",,"92","62"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-27","0.00",,"90","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-28",,,"82","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-29","0.15",,"74","58"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-30",,,"77","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-08-31",,,"80","43"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-01",,,"82","51"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-02",,,"71","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-03",,,"78","40"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-04",,,"85","44"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-05",,,"92","55"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-06",,,"93","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-07",,,"96","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-08",,,"85","59"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-09",,,"85","50"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-10",,,"87","65"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-11","0.15",,"86","61"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-12",,,"77","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-13","0.35",,"84","63"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-14",,,"86","65"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-15",,,"89","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-16","0.00",,"84","53"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-17",,,"73","38"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-18",,,"84","52"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-19",,,"92","69"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-20",,,"77","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-21","0.00",,"88","57"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-22",,,"87","64"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-23","0.01",,"75","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-24","0.22",,"69","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-25","0.13",,"65","45"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-26",,,"68","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-27",,,"67","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-28",,,"66","38"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-29",,,"62","28"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-09-30","0.20",,"58","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-01","0.00","0.0","74","46"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-02",,"0.0","78","43"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-03","1.18","0.0","72","56"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-04","0.12","0.0","67","47"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-05",,"0.0","69","40"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-06",,"0.0","73","48"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-07",,"0.0","73","46"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-08",,"0.0","77","46"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-09",,"0.0","82","43"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-10",,"0.0","83","51"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-11",,"0.0","85","48"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-12",,"0.0","84","49"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-13","1.11","0.0","60","51"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-14","0.40","0.0","53","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-15",,"0.0","53","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-16",,"0.0","57","29"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-17",,"0.0","63","28"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-18",,"0.0","68","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-19",,"0.0","69","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-20","0.07","0.0","66","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-21",,"0.0","66","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-22",,"0.0","70","38"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-23",,"0.0","75","48"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-24",,"0.0","70","54"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-25",,"0.0","55","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-26","0.29","0.0","58","41"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-27","0.13","0.0","57","41"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-28",,"0.0","58","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-29",,"0.0","40","30"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-30",,"0.0","45","28"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-10-31",,"0.0","54","23"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-01",,"0.0","62","37"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-02","0.00","0.0","69","38"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-03","0.04","0.0","66","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-04","0.12","0.0","50","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-05",,"0.0","57","26"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-06",,"0.0","56","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-07",,"0.0","64","31"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-08",,"0.0","66","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-09",,"0.0","65","31"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-10",,"0.0","65","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-11","0.00","0.0","65","38"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-12",,"0.0","63","32"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-13","0.02","0.0","55","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-14",,"0.0","42","28"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-15",,"0.0","31","20"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-16",,"0.0","42","26"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-17","0.00","0.0","50","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-18",,"0.0","43","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-19",,"0.0","41","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-20",,"0.0","42","17"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-21","0.00","0.0","44","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-22",,"0.0","46","40"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-23","0.00","0.0","36","21"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-24",,"0.0","25","13"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-25",,"0.0","30","11"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-26",,"0.0","40","12"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-27","0.23","0.0","45","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-28","1.13","0.0","45","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-29",,"0.0","55","34"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-11-30","0.07","0.0","44","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-01","0.00","0.0","39","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-02","0.05","0.5","27","11"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-03","1.09","0.5","34","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-04",,"0.0","26","19"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-05",,"0.0","32","14"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-06",,"0.0","31","19"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-07",,"0.0","31","10"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-08",,"0.0","39","18"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-09","0.34","0.0","42","33"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-10",,"0.0","40","27"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-11",,"0.0","49","23"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-12",,"0.0","48","26"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-13",,"0.0","29","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-14","0.13","0.0","44","22"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-15","0.36","0.0","60","41"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-16","0.15","0.5","61","25"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-17","0.00","0.0","29","23"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-18","0.00","0.0","38","11"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-19",,"0.0","40","12"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-20",,"0.0","31","12"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-21",,"0.0","44","15"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-22",,"0.0","51","35"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-23",,"0.0","58","43"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-24",,"0.0","63","42"
"USC00331778","COLUMBUS OHIO STATE, OH US","1893-12-25","0.00","0.0","69","35"
